,City,SolarUnitCount,County,Pop_2010,Area_SqMi
384,Goshen,117,,0,0
385,Grand Terrace,92,San Bernardino,12040,3.5
386,Granite Bay,377,,0,0
387,Grass Valley,398,Nevada,12860,4.74
388,Graton,6,,0,0
389,Green Valley,1,,0,0
390,Green Valley Lake,2,,0,0
391,Greenbrae,41,,0,0
392,Greenfield,105,Monterey,16330,2.14
393,Greenville,5,,0,0
394,Greenwood,7,,0,0
395,Gridley,28,Butte,6584,2.07
396,Grimes,1,,0,0
397,Grizzly Flats,2,,0,0
398,Groveland,19,,0,0
399,Grover Beach,27,San Luis Obispo,13156,2.31
400,Guadalupe,17,Santa Barbara,7080,1.31
401,Gualala,25,,0,0
402,Guatay,3,,0,0
403,Guerneville,26,,0,0
404,Guinda,6,,0,0
405,Gustine,15,Merced,5520,1.55
406,Hacienda Heights,308,,0,0
407,Hacienda Hts,5,,0,0
408,Half Moon Bay,93,San Mateo,11324,6.42
409,Hamilton City,37,,0,0
410,Hanford,576,Kings,53967,16.59
411,Harbor City,27,,0,0
412,Harmony,2,,0,0
413,Hat Creek,4,,0,0
414,Havasu Lake,66,,0,0
415,Hawaiian Gardens,9,Los Angeles,14254,0.95
416,Hawthorne,96,Los Angeles,84293,6.08
417,Hayward,299,Alameda,144186,45.32
418,Healdsburg,173,Sonoma,11254,4.46
419,Helendale,120,,0,0
420,Hemet,856,Riverside,78657,27.85
421,Hercules,48,Contra Costa,24060,6.21
422,Hermosa Beach,113,Los Angeles,19506,1.43
423,Hesperia,635,San Bernardino,90173,73.1
424,Hidden Hills,20,Los Angeles,1856,1.69
425,Hidden Valley Lake,25,,0,0
426,Highland,519,San Bernardino,53104,18.76
427,Hillsborough,159,San Mateo,10825,6.19
428,Hinkley,5,,0,0
429,Hollister,248,San Benito,34928,7.29
430,Homeland,39,,0,0
431,Hopland,23,,0,0
432,Hornitos,4,,0,0
433,Huntingtn Bch,3,,0,0
434,Huntington Beach,1019,Orange,189992,26.75
435,Huntington Park,30,Los Angeles,58114,3.01
436,Huron,10,Fresno,6754,1.59
437,Hydesville,4,,0,0
438,Idyllwild,21,,0,0
439,Igo,5,,0,0
440,Imperial Beach,93,San Diego,26324,4.16
441,Indian Wells,224,Riverside,4958,14.32
442,Inglewood,121,Los Angeles,109673,9.07
443,Inverness,22,,0,0
444,Inverness Park,1,,0,0
445,Inyokern,37,,0,0
446,Ione,47,Amador,7918,4.76
447,Irvine,825,Orange,212375,66.11
448,Irwindale,5,Los Angeles,1422,8.83
449,Isleton,6,Sacramento,804,0.44
450,Ivanhoe,10,,0,0
451,Jackson,26,Amador,4651,3.73
452,Jacumba,3,,0,0
453,Jamestown,25,,0,0
454,Jamul,238,,0,0
455,Jenner,10,,0,0
456,Johnson Valley,6,,0,0
457,Johnson Vly,1,,0,0
458,Jolon,2,,0,0
459,Joshua Tree,138,,0,0
460,Julian,41,,0,0
461,June Lake,1,,0,0
462,Juniper Hills,4,,0,0
463,Jurupa,2,,0,0
464,Kagel Canyon,2,,0,0
465,Keene,12,,0,0
466,Kelsey,3,,0,0
467,Kelseyville,66,,0,0
468,Kensington,70,,0,0
469,Kentfield,78,,0,0
470,Kenwood,54,,0,0
471,Kerman,68,Fresno,13544,3.23
472,Kernville,9,,0,0
473,Kettleman City,8,,0,0
474,King City,77,Monterey,12874,3.84
475,Kingsburg,143,Fresno,11382,2.83
476,Kneeland,3,,0,0
477,Knights Ferry,2,,0,0
478,Knights Landing,4,,0,0
479,Knightsen,7,,0,0
480,La,1,,0,0
481,La Canada,58,,0,0
482,La Canada Flintridge,227,,0,0
483,La Crescenta,167,,0,0
484,La Grange,25,,0,0
485,La Habra,230,Orange,60239,7.37
486,La Habra Heights,72,Los Angeles,5325,6.16
487,La Habra Hgts,2,,0,0
488,La Honda,21,,0,0
489,La Jolla,347,,0,0
490,La Mesa,542,San Diego,57065,9.08
491,La Mirada,180,Los Angeles,48527,7.84
492,La Palma,137,Orange,15568,1.81
493,La Puente,148,Los Angeles,39816,3.48
494,La Verne,331,Los Angeles,31063,8.43
495,Ladera Heights,1,,0,0
496,Ladera Ranch,152,,0,0
497,Lafayette,383,Contra Costa,23893,15.22
498,Laguna Beach,197,Orange,22723,8.85
499,Laguna Hills,264,Orange,30344,6.67
500,Laguna Niguel,335,Orange,62979,14.83
501,Laguna Woods,46,Orange,16192,3.12
502,Lagunitas,8,,0,0
503,Lake Almanor,3,,0,0
504,Lake Arrowhead,20,,0,0
505,Lake Elsinore,636,Riverside,51821,36.21
506,Lake Forest,417,Orange,77264,17.82
507,Lake Hughes,12,,0,0
508,Lake Isabella,43,,0,0
509,Lake Los Angeles,2,,0,0
510,Lake San Marcos,2,,0,0
511,Lake Sherwood,8,,0,0
512,Lakehead,6,,0,0
513,Lakeport,110,Lake,4753,3.06
514,Lakeside,441,,0,0
515,Lakeview,4,,0,0
516,Lakewood,300,Los Angeles,80048,9.41
517,Lamont,20,,0,0
518,Lancaster,1589,Los Angeles,156633,94.28
519,Landers,5,,0,0
520,Larkspur,67,Marin,11926,3.03
521,Las Flores,15,,0,0
522,Lathrop,55,San Joaquin,18023,21.93
523,Laton,24,,0,0
524,Lawndale,24,Los Angeles,32769,1.97
525,Laytonville,15,,0,0
526,Le Grand,25,,0,0
527,Lebec,2,,0,0
528,Lee Vining,11,,0,0
529,Lemon Cove,13,,0,0
530,Lemon Grove,116,San Diego,25320,3.88
531,Lemoore,248,Kings,24531,8.52
532,Lennox,1,,0,0
533,Leona Valley,27,,0,0
534,Leucadia,7,,0,0
535,Lincoln,789,Placer,42819,20.11
536,Linden,37,,0,0
537,Lindsay,185,Tulare,11768,2.61
538,Little River,3,,0,0
539,Little Rock,1,,0,0
540,Littlerock,90,,0,0
541,Live Oak,38,Sutter,8392,1.87
542,Live Oak Springs,1,,0,0
543,Livermore,932,Alameda,80968,25.17
544,Livingston,23,Merced,13058,3.72
545,Llano,11,,0,0
546,Lockeford,21,,0,0
547,Lockwood,14,,0,0
548,Lodi,125,San Joaquin,62134,13.61
549,Loleta,9,,0,0
550,Loma Linda,172,San Bernardino,23261,7.52
551,Loma Mar,2,,0,0
552,Loma Rica,3,,0,0
553,Lomita,63,Los Angeles,20256,1.91
554,Lompoc,45,Santa Barbara,42434,11.6
555,Long Beach,1457,Los Angeles,462257,50.29
556,Loomis,273,Placer,6430,7.27
557,Los Alamitos,258,Orange,11449,4.05
558,Los Alamos,17,,0,0
559,Los Altos,632,Santa Clara,28976,6.49
560,Los Altos Hills,217,Santa Clara,7922,8.8
561,Los Angeles,497,Los Angeles,3792621,468.67
562,Los Banos,82,Merced,35972,9.99
