,Location,Total_2007,MultiFamily(2)_2007,MultiFamily(3to4)_2007,MultiFamily(5)_2007,MultiFamily(all)_2007,SingleFamily_2007,Total_2008,MultiFamily(2)_2008,MultiFamily(3to4)_2008,MultiFamily(5)_2008,MultiFamily(all)_2008,SingleFamily_2008,Total_2009,MultiFamily(2)_2009,MultiFamily(3to4)_2009,MultiFamily(5)_2009,MultiFamily(all)_2009,SingleFamily_2009,Total_2010,MultiFamily(2)_2010,MultiFamily(3to4)_2010,MultiFamily(5)_2010,MultiFamily(all)_2010,SingleFamily_2010,Total_2011,MultiFamily(2)_2011,MultiFamily(3to4)_2011,MultiFamily(5)_2011,MultiFamily(all)_2011,SingleFamily_2011,Total_2012,MultiFamily(2)_2012,MultiFamily(3to4)_2012,MultiFamily(5)_2012,MultiFamily(all)_2012,SingleFamily_2012,Total_2013,MultiFamily(2)_2013,MultiFamily(3to4)_2013,MultiFamily(5)_2013,MultiFamily(all)_2013,SingleFamily_2013
35,Bell Gardens,37.0,2.0,7.0,0.0,9.0,28.0,15.0,2.0,0.0,0.0,2.0,13.0,5.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,65.0,65.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0
36,Bellflower,46.0,0.0,0.0,25.0,25.0,21.0,18.0,0.0,0.0,6.0,6.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,23.0
37,Belmont,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,8.0
38,Belvedere,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,2.0
39,Benicia,39.0,0.0,0.0,0.0,0.0,39.0,16.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0
40,Berkeley,74.0,2.0,7.0,51.0,60.0,14.0,406.0,4.0,3.0,384.0,391.0,15.0,178.0,4.0,0.0,166.0,170.0,8.0,18.0,0.0,0.0,16.0,16.0,2.0,42.0,0.0,0.0,38.0,38.0,4.0,95.0,0.0,0.0,94.0,94.0,1.0,62.0,0.0,0.0,45.0,45.0,17.0
41,Beverly Hills,51.0,0.0,0.0,22.0,22.0,29.0,22.0,0.0,0.0,0.0,0.0,22.0,63.0,0.0,0.0,50.0,50.0,13.0,29.0,0.0,0.0,0.0,0.0,29.0,58.0,0.0,4.0,34.0,38.0,20.0,16.0,0.0,0.0,0.0,0.0,16.0,43.0,0.0,0.0,10.0,10.0,33.0
42,Big Bear Lake,78.0,0.0,0.0,0.0,0.0,78.0,41.0,0.0,0.0,0.0,0.0,41.0,10.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,8.0,36.0,4.0,0.0,0.0,4.0,32.0
43,Biggs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Bishop,12.0,8.0,4.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
