,City,County,Pop_2010,Area_SqMi
307,Arroyo Grande,San Luis Obispo,17252,5.84
308,Arcata,Humboldt,17231,9.1
309,Rancho Mirage,Riverside,17218,24.45
310,Shafter,Kern,16988,27.94
311,El Segundo,Los Angeles,16654,5.46
312,Artesia,Los Angeles,16522,1.62
313,Greenfield,Monterey,16330,2.14
314,Santa Fe Springs,Los Angeles,16223,8.87
315,Laguna Woods,Orange,16192,3.12
316,Truckee,Nevada,16180,32.32
317,Ukiah,Mendocino,16075,4.67
318,Moraga,Contra Costa,16016,9.43
319,La Palma,Orange,15568,1.81
320,Oroville,Butte,15546,12.99
321,Avenal,Kings,15505,19.42
322,Clearlake,Lake,15250,10.13
323,Pacific Grove,Monterey,15041,2.86
324,Fillmore,Ventura,15002,3.36
325,Imperial,Imperial,14758,5.86
326,Parlier,Fresno,14494,2.19
327,Tehachapi,Kern,14414,9.87
328,Ripon,San Joaquin,14297,5.3
329,Hawaiian Gardens,Los Angeles,14254,0.95
330,California City,Kern,14120,203.52
331,Red Bluff,Tehama,14076,7.56
332,Mill Valley,Marin,13903,4.76
333,Kerman,Fresno,13544,3.23
334,Palos Verdes Estates,Los Angeles,13438,4.77
335,Coalinga,Fresno,13380,6.12
336,Auburn,Placer,13330,7.14
337,Grover Beach,San Luis Obispo,13156,2.31
338,San Marino,Los Angeles,13147,3.77
339,Livingston,Merced,13058,3.72
340,Carpinteria,Santa Barbara,13040,2.59
341,King City,Monterey,12874,3.84
342,Solana Beach,San Diego,12867,3.52
343,Grass Valley,Nevada,12860,4.74
344,Commerce,Los Angeles,12823,6.54
345,McFarland,Kern,12707,2.67
346,Malibu,Los Angeles,12645,19.78
347,San Anselmo,Marin,12336,2.68
348,Marysville,Yuba,12072,3.46
349,Grand Terrace,San Bernardino,12040,3.5
350,Fortuna,Humboldt,11926,4.85
351,Larkspur,Marin,11926,3.03
352,Lindsay,Tulare,11768,2.61
353,Scotts Valley,Santa Cruz,11580,4.59
354,Los Alamitos,Orange,11449,4.05
355,Kingsburg,Fresno,11382,2.83
356,Half Moon Bay,San Mateo,11324,6.42
357,Healdsburg,Sonoma,11254,4.46
358,Signal Hill,Los Angeles,11016,2.19
359,Mendota,Fresno,11014,3.28
360,Sierra Madre,Los Angeles,10917,2.95
361,Clayton,Contra Costa,10897,3.84
362,Hillsborough,San Mateo,10825,6.19
363,Piedmont,Alameda,10667,1.68
364,Sonoma,Sonoma,10648,2.74
365,Farmersville,Tulare,10588,2.26
366,Canyon Lake,Riverside,10561,3.93
367,Placerville,El Dorado,10389,5.81
368,Exeter,Tulare,10334,2.46
369,Morro Bay,San Luis Obispo,10234,5.3
370,Newman,Stanislaus,10224,2.1
371,Shasta Lake,Shasta,10164,10.92
372,Emeryville,Alameda,10080,1.25
373,Anderson,Shasta,9932,6.37
374,Capitola,Santa Cruz,9918,1.59
375,Taft,Kern,9327,15.11
376,Corte Madera,Marin,9253,3.16
377,Orange Cove,Fresno,9078,1.91
378,Tiburon,Marin,8962,4.43
379,Cloverdale,Sonoma,8618,2.65
380,Waterford,Stanislaus,8456,2.33
381,Live Oak,Sutter,8392,1.87
382,Westlake Village,Los Angeles,8270,5.19
383,Mammoth Lakes,Mono,8234,24.87
384,Gonzales,Monterey,8187,1.92
385,Rolling Hills Estates,Los Angeles,8067,3.57
386,Los Altos Hills,Santa Clara,7922,8.8
387,Ione,Amador,7918,4.76
388,Calimesa,Riverside,7879,14.85
389,Yreka,Siskiyou,7765,9.98
390,Calipatria,Imperial,7705,3.72
391,Corning,Tehama,7663,3.55
392,Pismo Beach,San Luis Obispo,7655,3.6
393,Crescent City,Del Norte,7643,1.96
394,Firebaugh,Fresno,7549,3.46
395,Ojai,Ventura,7461,4.39
396,Fairfax,Marin,7441,2.2
397,Sebastopol,Sonoma,7379,1.85
398,Rio Vista,Solano,7360,6.69
399,Orland,Glenn,7291,2.97
400,Woodlake,Tulare,7279,2.25
401,Fort Bragg,Mendocino,7273,2.75
402,Cotati,Sonoma,7265,1.88
403,Escalon,San Joaquin,7132,2.3
404,Guadalupe,Santa Barbara,7080,1.31
405,Sausalito,Marin,7061,1.77
406,Atherton,San Mateo,6914,5.02
407,Huron,Fresno,6754,1.59
408,Hughson,Stanislaus,6640,1.82
409,Winters,Yolo,6624,2.91
410,Gridley,Butte,6584,2.07
411,Loomis,Placer,6430,7.27
412,Willows,Glenn,6166,2.85
413,Colusa,Colusa,5971,1.83
414,Holtville,Imperial,5939,1.15
415,St. Helena,Napa,5814,4.99
416,Villa Park,Orange,5812,2.08
417,Fowler,Fresno,5570,2.53
418,Gustine,Merced,5520,1.55
