County,Jurisdiction,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Diversity_Index,Voter_Registration_Rate,Rep_Dem_Ratio,Major_Minor_Crime_Ratio,Percent_Violent,TotCrime/1000People,Crime_Index,HH_Income_Ratio,Fam_Income_Ratio,gMean_Income_Index,PerCapitaIncome_Index,Travel_Time_Index,gMedian_Income_Index,MF_MedianEarnings_Index,Solar_ResUnits/Person,Solar_ResUnits/HH
San Diego,Encinitas,7.5,6.0,17.9,15.6,0.2591792895946893,0.6598171981585402,0.9243983763409684,0.058714748035136384,5.545851528384279,38.47575523371081,0.09372967203345772,0.24452958078538276,0.14384293906113324,0.5344738023015592,0.6761848252133715,0.5840036495302738,0.7542614104429393,0.7199068324412582,0.008148795322423468,0.032238766285562354
Fresno,Escalon,11.8,5.0,40.4,19.3,0.31858289434488907,0.5033651149747617,1.4842767295597483,0.026041666666666668,2.5380710659898478,55.24397083567022,0.7419907701330388,0.4835766423357664,0.1955193482688391,,0.5252722181139419,0.5816185381466134,0.650032523160016,0.6299502811899195,,
San Diego,Escondido,5.9,5.5,16.5,17.8,0.5675580395467994,0.4147771886791142,1.480886030725259,0.0750440695039033,6.980557507613024,59.32833487363718,0.039826253263988726,0.7240315638450502,0.5196634037437747,0.4587932270010783,0.4752177918054921,0.6141537671942019,0.6188243973958639,0.5777557904892744,0.010318877639652285,0.04536844677990957
Humboldt,Eureka,6.5,5.8,9.5,9.5,0.3631829760045834,0.5053142583943216,0.5874700445053064,0.04572517266015718,4.372580277841038,161.48725681291603,0.20180796992145808,1.768850987432675,0.7847800237812128,0.4336851377509234,0.46636200244712933,0.22774656863083664,0.5755597558260318,0.5746143083478892,0.0014710749880475157,0.007001575354454752
Solano,Fairfield,8.5,4.1,22.7,12.6,0.7310978976562827,0.47588799954425043,0.4975259772389906,0.07025959367945823,6.5647244924861585,72.02742093219776,0.053932267725344187,0.4003617121039587,0.27722772277227725,0.47038156608600373,0.5289830095985067,0.6555918278441569,0.6808795011070229,0.6402719547993775,0.002459148697790564,0.010022056262817785
Humboldt,Ferndale,3.4,4.0,13.4,11.9,0.1261049317396249,0.6841721371261853,0.9617486338797814,0.07692307692307693,7.142857142857143,40.84609773887673,4.167969157028238,1.2448979591836735,0.3162393162393162,,0.5678739341679191,0.2781225269846949,0.5842254123849454,0.5699537579351102,0.0029175784099197666,0.010638297872340425
Ventura,Fillmore,4.9,3.7,37.3,22.2,0.5494988616458036,0.42174376749766695,0.587296195652174,0.08360128617363344,7.71513353115727,22.46367151046527,0.3926281639203794,0.5874916833000665,0.4888086642599278,0.44916552265937554,0.4553429129675376,0.7193449599438011,0.6322818029453853,0.6056375090479975,0.004999333422210372,0.022294887039239
Fresno,Firebaugh,5.1,3.7,37.3,15.1,0.509927097745693,0.2750033116969135,0.3895993179880648,0.693069306930693,40.93567251461988,22.65200688832958,1.2394655114848103,3.034632034632035,2.99468085106383,0.41256994551894505,0.3292219236590391,0.5159121783446129,0.5232987108255036,0.48326062989568264,0.004106504172738111,0.018474374255065554
Sacramento,Folsom,7.0,3.6,13.1,7.2,0.43880757909459456,0.4930820049028434,1.4695882130714015,0.036539895600298286,3.5251798561151078,38.50255529548634,0.07455498421367335,0.1430870236869207,0.05855384862864956,0.49639038868327684,0.620653183021367,0.5816185381466134,0.7671844466351664,0.7378273638415129,,
San Bernardino,Fontana,6.0,3.8,22.5,16.5,0.6725934956505626,0.37171097929810426,0.506804276974098,0.0885766646304215,8.13692480359147,45.44318581723781,0.029800086582817836,0.37451661853247836,0.33314803491022293,0.4698257034786749,0.44520586667741063,0.7415632251393582,0.6661576930030085,0.6032170222535583,0.004294406560955582,0.019837904061822637
Mendocino,Fort Bragg,5.7,4.8,10.3,9.3,0.4123756778067611,0.4219716760621477,0.3495830660679923,0.06743002544529263,6.3170441001191895,115.35817406847244,0.778427304804437,2.1656314699792962,0.9458762886597938,0.4003990646341908,0.4615206097849147,0.19621678624677105,0.5492465986255703,0.5920716007236395,0.008249690636601128,0.037290242386575516
Humboldt,Fortuna,4.3,3.5,15.5,12.9,0.3288840774467874,0.5057856783498239,1.1338582677165354,0.047674418604651166,4.550499445061043,75.54922019117893,0.4592694535279805,1.0856269113149848,0.5959232613908872,0.4352301699709337,0.47194573329064426,0.48289436524659857,0.5840763523063726,0.5958953691994217,0.001341606573872212,0.0053458068827263614
San Mateo,Foster City,3.7,2.6,7.1,4.1,0.7278371216586317,0.4999836424902673,0.4641921397379913,0.024429967426710098,2.384737678855326,20.57774724375961,0.17293710607722837,0.11912555529576806,0.06301206614032474,0.5643893493834101,0.7068560911645021,0.6186569472574719,0.8151842307162426,0.7827189162299645,0.00248634147937318,0.009041161075422317
Orange,Fountain Valley,6.9,4.8,12.9,9.9,0.6314747724406241,0.5670638005532154,1.6101485148514851,0.039232409381663114,3.775133360689372,44.058358794496776,0.09773899764714969,0.24690495207667731,0.16172282866635027,0.47966518642050426,0.5932865781549799,0.5957850385183655,0.7241347127841893,0.6635452450697598,0.006020284562399436,0.023427606585056986
